"sheet","conditions","val","date","dpi","plate","note","A","B","norm","irregular"
"effectors Alone","SRE20 + PTO",106.807168,"17.07.2026","4","7","","SRE20","PTO",0.614504994049497,FALSE
"effectors Alone","SRE20 + PTO",138.278584,"17.07.2026","4","7","","SRE20","PTO",0.795718689422712,FALSE
"effectors Alone","SRE20 + PTO",145.213281,"17.07.2026","4","7","","SRE20","PTO",0.835648957246173,FALSE
"effectors Alone","SRE20 + EV",126.645998,"17.07.2026","4","7","","SRE20","EV",0.728737785360222,FALSE
"effectors Alone","SRE20 + EV",109.713061,"17.07.2026","4","7","","SRE20","EV",0.631237244320319,FALSE
"effectors Alone","SRE20 + EV",147.569261,"17.07.2026","4","7","","SRE20","EV",0.849214786061292,FALSE
"effectors Alone","SRE9 + PTO",108.646878,"17.07.2026","4","5","","SRE9","PTO",0.625098119173421,FALSE
"effectors Alone","SRE9 + PTO",119.229771,"17.07.2026","4","5","","SRE9","PTO",0.686034848180763,FALSE
"effectors Alone","SRE9 + PTO",115.87423,"17.07.2026","4","5","","SRE9","PTO",0.666713506408714,FALSE
"effectors Alone","SRE9 + PTO",78.525713,"03.08.2026","4","11","","SRE9","PTO",0.445903404755023,FALSE
"effectors Alone","SRE9 + PTO",83.340458,"03.08.2026","4","11","","SRE9","PTO",0.473796853460457,FALSE
"effectors Alone","SRE9 + PTO",119.816914,"03.08.2026","4","11","","SRE9","PTO",0.685117318904011,FALSE
"effectors Alone","SRE9 + PTO",109.212935,"08.08.2026","4","2","irregular","SRE9","PTO",0.80144624858053,TRUE
"effectors Alone","SRE9 + PTO",133.960287,"08.08.2026","4","2","irregular","SRE9","PTO",1,TRUE
"effectors Alone","SRE9 + PTO",12.520045,"08.08.2026","4","2","irregular","SRE9","PTO",0.025656740067046,TRUE
"effectors Alone","SRE9 + EV",124.73175,"17.07.2026","4","5","","SRE9","EV",0.717715467395857,FALSE
"effectors Alone","SRE9 + EV",133.760994,"17.07.2026","4","5","","SRE9","EV",0.769706222170489,FALSE
"effectors Alone","SRE9 + EV",124.5365,"17.07.2026","4","5","","SRE9","EV",0.716591209941994,FALSE
"effectors Alone","SRE2 + PTO",167.226913,"21.07.2026","5","3","","SRE2","PTO",1,FALSE
"effectors Alone","SRE2 + PTO",9.304969,"21.07.2026","5","3","","SRE2","PTO",0.0470372047193598,FALSE
"effectors Alone","SRE2 + PTO",156.360818,"21.07.2026","5","3","","SRE2","PTO",0.934429731532529,FALSE
"effectors Alone","SRE2 + PTO",149.897318,"21.07.2026","5","3","","SRE2","PTO",0.895426443760841,FALSE
"effectors Alone","SRE2 + PTO",151.718558,"21.07.2026","5","3","","SRE2","PTO",0.906416518460509,FALSE
"effectors Alone","SRE2 + PTO",21.550572,"04.08.2026","4","3","","SRE2","PTO",0.0949642063375238,FALSE
"effectors Alone","SRE2 + PTO",54.655453,"04.08.2026","4","3","","SRE2","PTO",0.274198791723368,FALSE
"effectors Alone","SRE2 + PTO",93.027485,"04.08.2026","4","3","","SRE2","PTO",0.481950489907462,FALSE
"effectors Alone","SRE2 + PTO",67.24934,"04.08.2026","4","3","","SRE2","PTO",0.34238390662655,FALSE
"effectors Alone","SRE2 + PTO",40.364556,"04.08.2026","4","3","","SRE2","PTO",0.196825820692697,FALSE
"effectors Alone","SRE2 + PTO",16.124054,"31.07.2026","4","2","irregular","SRE2","PTO",0.00775310713026419,TRUE
"effectors Alone","SRE2 + PTO",79.316944,"31.07.2026","4","2","irregular","SRE2","PTO",0.51476126166936,TRUE
"effectors Alone","SRE2 + PTO",53.169818,"31.07.2026","4","2","irregular","SRE2","PTO",0.3049780708743,TRUE
"effectors Alone","SRE2 + EV",81.954485,"21.07.2026","5","3","","SRE2","EV",0.485432807569497,FALSE
"effectors Alone","SRE2 + EV",139.522208,"21.07.2026","5","3","","SRE2","EV",0.832818970875729,FALSE
"effectors Alone","SRE2 + EV",35.891161,"21.07.2026","5","3","","SRE2","EV",0.207468688795998,FALSE
"effectors Alone","SRE2 + EV",154.185576,"21.07.2026","5","3","","SRE2","EV",0.921303470265558,FALSE
"effectors Alone","SRE2 + EV",158.51715,"21.07.2026","5","3","","SRE2","EV",0.947441882461174,FALSE
"effectors Alone","SRE2 + EV",38.120879,"11.08.2026","4","6","","SRE2","EV",0.243847665865582,FALSE
