"candidate","backbone","num","assigned","neg_ctrl","neg_rule","neg_opts","n_wells","pct_irr","flag","welch_p","n_assigned","mean_assigned","dates_assigned","n_neg","mean_neg","dates_neg","BH_adj_p","significance"
"Rx53","Rx",53,"SRE2","PvxCP","brightest non-cognate","PvxCP (n=3, mean=0.047)",9,1,TRUE,0.456926213262383,3,0.346022543669466,"31.07.2026",3,0.0467553721605566,"31.07.2026",0.783302079878371,"ns"
"Rx57","Rx",57,"SRE2","SRE12","brightest non-cognate","SRE12 (n=4, mean=0.439); PvxCP (n=4, mean=0.244)",18,0,FALSE,0.00112487150032933,5,0.118452380795457,"11.08.2026",4,0.43929123993741,"11.08.2026",0.0122246148872383,"*"
"Rx59","Rx",59,"SRE2","AvrSr35","brightest non-cognate","AvrSr35 (n=5, mean=0.374); SRE12 (n=5, mean=0.250)",20,0,FALSE,0.598912855691115,5,0.336360018731205,"04.08.2026",5,0.37407950622489,"04.08.2026",0.898369283536672,"ns"
"Rx60","Rx",60,"SRE2","AvrSr35","brightest non-cognate","AvrSr35 (n=5, mean=0.710); SRE12 (n=5, mean=0.360)",20,0,FALSE,0.316390900057901,5,0.527818333083452,"04.08.2026",5,0.710269264211147,"04.08.2026",0.697357225907413,"ns"
"Rx61","Rx",61,"SRE2","SRE12","brightest non-cognate","SRE12 (n=2, mean=0.457)",11,0,FALSE,0.958983089351326,6,0.44958920759791,"13.08.2026",2,0.456747317754496,"13.08.2026",0.966682555375688,"ns"
"Rx62","Rx",62,"SRE2","AvrSr35","brightest non-cognate","AvrSr35 (n=5, mean=0.495); SRE12 (n=8, mean=0.366); PvxCP (n=8, mean=0.294)",34,0.264705882352941,FALSE,0.966682555375688,8,0.503291056189537,"21.07.2026; 31.07.2026",5,0.495425910320655,"21.07.2026",0.966682555375688,"ns"
"Rx63","Rx",63,"SRE2","SRE12","brightest non-cognate","SRE12 (n=5, mean=0.840); PvxCP (n=5, mean=0.715); AvrSr35 (n=5, mean=0.709)",28,0.107142857142857,FALSE,0.00203743581453972,8,0.383953468017768,"21.07.2026; 31.07.2026",5,0.840429092526703,"21.07.2026",0.0122246148872383,"*"
"Rx66","Rx",66,"SRE20(2)","PvxCP","brightest non-cognate","PvxCP (n=3, mean=0.744); SRE12 (n=3, mean=0.712); AvrSr35 (n=3, mean=0.661)",15,0,FALSE,0.348678612953707,3,0.804223659154084,"17.07.2026",3,0.74355744098121,"17.07.2026",0.697357225907413,"ns"
"Rx67","Rx",67,"SRE20","SRE12","brightest non-cognate","SRE12 (n=4, mean=0.837); PvxCP (n=5, mean=0.748); AvrSr35 (n=3, mean=0.671)",21,0,FALSE,0.79304299277854,6,0.818176226988752,"11.08.2026; 17.07.2026",4,0.836884703975114,"11.08.2026; 17.07.2026",0.951651591334248,"ns"
"Rx68","Rx",68,"SRE20","SRE12","brightest non-cognate","SRE12 (n=3, mean=0.441); PvxCP (n=4, mean=0.075)",16,0.5,TRUE,0.248675592563111,5,0.0908127908948456,"11.08.2026",3,0.441386326474837,"11.08.2026",0.697357225907413,"ns"
"Rx188","Rx",188,"SRE9","SRE12","brightest non-cognate","SRE12 (n=3, mean=0.654)",9,0,FALSE,0.0796324858194741,3,0.428176408114574,"03.08.2026",3,0.654034061753565,"03.08.2026",0.318529943277897,"ns"
"Rx190","Rx",190,"SRE9","SRE12","brightest non-cognate","SRE12 (n=3, mean=0.475)",9,0,FALSE,0.729867196183887,3,0.518147244466696,"03.08.2026",3,0.475061533512869,"03.08.2026",0.951651591334248,"ns"
"Sr35-59","Sr35",59,"SRE2","AvrSr35","brightest non-cognate","AvrSr35 (n=3, mean=0.221); SRE12 (n=3, mean=0.198)",12,0,FALSE,0.435624678721436,3,0.00739287183469521,"03.08.2026",3,0.221055659442028,"03.08.2026",0.544530848401795,"ns"
"Sr35-60","Sr35",60,"SRE2","SRE12","brightest non-cognate","SRE12 (n=3, mean=0.443); AvrSr35 (n=3, mean=0.159)",12,0,FALSE,0.0842891491754707,3,0.00189291163589787,"03.08.2026",3,0.44267102685699,"03.08.2026",0.326583601040385,"ns"
"Sr35-61","Sr35",61,"SRE2","SRE12","brightest non-cognate","SRE12 (n=3, mean=0.586); AvrSr35 (n=3, mean=0.368)",12,0,FALSE,0.130633440416154,3,0.376606542837005,"13.08.2026",3,0.585761490924771,"13.08.2026",0.326583601040385,"ns"
"Sr35-190","Sr35",190,"SRE9","AvrSr35","brightest non-cognate","AvrSr35 (n=3, mean=0.464); SRE12 (n=3, mean=0.293)",12,1,TRUE,0.548024613400277,3,0.353098079114119,"08.08.2026",3,0.464411827652072,"08.08.2026",0.548024613400277,"ns"
"Sr35-191","Sr35",191,"SRE9","AvrSr35","brightest non-cognate","AvrSr35 (n=3, mean=0.383); SRE12 (n=3, mean=0.377)",12,1,TRUE,0.265252191130563,3,0.212296021088734,"08.08.2026",3,0.383211497343091,"08.08.2026",0.442086985217604,"ns"
