backbone,candidate,effector,vlrr_class,rank,rank_in_effector,contact_pairs,contact_prob,iLIS,iLIS_sd,ipSAE,consistency,qc_notes,effector_pLDDT,nlr_pLDDT,clash_mean,min_dist_A,is_control,effector_unfolded,clash_tier
Rx,57,sre2,Yes,1,1,76.0,0.78,0.2297,0.0109175547,0.236546,0.7184172745,AB_CLASH_SEVERE,56.3,76.74,4.6,0.7823104246,False,False,severe
Rx,67,sre20,Yes,2,1,4.0,0.42,0.026,0.0120476139,0.0,0.5033697506,,31.04,73.32,0.2,1.6699733179,False,True,
Rx,187,sre9,Yes,3,1,14.0,0.38,0.0,0.0,0.0,0.5552812342,,57.18,70.66,0.4,1.4535279266,False,False,
Rx,190,sre9,Yes,4,2,14.0,0.47,0.0,0.0227248762,0.0,0.4524140974,AB_CLASH_SEVERE,54.78,68.88,10.4,1.0160049873,False,False,severe
Rx,188,sre9,Yes,5,3,6.0,0.38,0.0,0.0,0.0,0.5431609697,,55.98,73.2,0.2,1.6669388796,False,False,
Rx,68,sre20,Yes,6,2,6.0,0.46,0.0,0.0,0.0,0.4297224922,,31.96,74.9,0.0,2.1048068233,False,True,
Rx,60,sre2,Yes,7,2,3.0,0.33,0.0,0.0,0.0,0.5430724061,AB_CLASH_SEVERE,54.14,71.28,11.4,0.810922087,False,False,severe
Rx,59,sre2,Yes,8,3,1.0,0.32,0.0,0.0,0.0,0.398063441,AB_CLASH_SEVERE,55.54,72.74,9.2,0.989776059,False,False,severe
Rx,191,sre9,Yes,9,4,0.0,0.14,0.0,0.0,0.0,0.4637678801,,54.4,74.16,0.2,1.7211924849,False,False,
Rx,64,sre2,Yes,10,4,0.0,0.09,0.0,0.0,0.0,0.4581999451,,54.06,68.1,0.6,1.6988563262,False,False,
Rx,53,sre19,Yes,11,1,0.0,0.12,0.0,0.0,0.0,0.4057727615,,32.88,72.96,0.0,2.0575549324,False,True,
Rx,WT,pvxcp,Yes,12,1,0.0,0.11,0.0,0.0,0.0,0.3948458938,,55.98,78.78,0.6,1.4091742096,True,False,
Rx,52,sre19,Yes,13,2,0.0,0.2,0.0,0.0,0.0,0.3925197695,,32.84,70.78,0.0,1.9575785852,False,True,
Rx,55,sre2,Yes,14,5,0.0,0.16,0.0,0.0,0.0,0.384020884,,56.04,74.76,0.4,1.8908954906,False,False,
Rx,62,sre2,Yes,15,6,0.0,0.14,0.0,0.0,0.0,0.3353689953,,52.22,67.68,1.0,1.6310613562,False,False,
Rx,66,sre20,Yes,16,3,0.0,0.1,0.0,0.0,0.0,0.3118699438,,30.9,70.66,0.0,2.0487971705,False,True,
Rx,189,sre9,Yes,17,5,0.0,0.04,0.0,0.0,0.0,0.0717697969,,56.5,71.0,0.0,2.1926092285,False,False,
Rx,54,sre2,Partially,18,7,15.0,0.44,0.0,0.0,0.0,0.3534090594,,55.72,74.28,0.2,1.5864469147,False,False,
Rx,63,sre2,Partially,19,8,0.0,0.15,0.0,0.0,0.0,0.4468501773,AB_CLASH_REPEATED,54.26,71.54,1.4,1.3702933838,False,False,repeated
Rx,73,sre23,Partially,20,1,0.0,0.27,0.0,0.0,0.0,0.3438734733,,71.68,75.78,0.2,1.816516325,False,False,
Rx,56,sre2,Partially,21,9,0.0,0.19,0.0,0.0,0.0,0.3412022521,,56.16,72.18,0.0,2.0766477717,False,False,
Rx,61,sre2,Partially,22,10,0.0,0.19,0.0,0.0,0.0,0.3102154008,,52.96,70.86,0.2,1.8391138048,False,False,
Rx,58,sre2,Partially,23,11,0.0,0.16,0.0,0.0,0.0,0.2822723333,,56.34,71.78,0.0,1.9428032607,False,False,
Rx,69,sre20,Partially,24,4,0.0,0.08,0.0,0.0,0.0,0.2778821418,,34.72,73.42,0.0,2.0439340602,False,True,
Rx,65,sre2,Partially,25,12,0.0,0.18,0.0,0.0,0.0,0.214035995,,57.9,73.86,0.2,2.1739982337,False,False,
Rx,75,sre23,No,26,2,1.0,0.31,0.0,0.0,0.0,0.4939642563,,72.38,72.38,0.0,1.9995228522,False,False,
Rx,72,sre23,No,27,3,0.0,0.24,0.0,0.0,0.0,0.4316458674,,70.62,72.36,0.2,1.8097071514,False,False,
Rx,70,sre23,No,28,4,0.0,0.15,0.0,0.0,0.0,0.4246670302,AB_CLASH_REPEATED,72.22,70.3,1.8,1.5269294209,False,False,repeated
Rx,74,sre23,No,29,5,0.0,0.14,0.0,0.0,0.0,0.2922611517,,69.44,70.36,0.0,1.9165533771,False,False,
Rx,76,sre23,No,30,6,0.0,0.19,0.0,0.0,0.0,0.2895233238,,71.9,72.2,0.0,2.0992232984,False,False,
Rx,71,sre23,No,31,7,0.0,0.16,0.0,0.0,0.0,0.2522947888,,71.3,72.38,0.0,2.181824286,False,False,
Sr35,59,sre2,Yes,1,1,46.0,0.8,0.1383,0.0122265285,0.093029,0.6649330612,,61.74,75.32,0.0,2.0687981895,False,False,
Sr35,63,sre2,Yes,2,2,12.0,0.6,0.0638,0.0089792539,0.0,0.6139246747,,56.66,71.98,0.2,1.8774847799,False,False,
Sr35,60,sre2,Yes,3,3,12.0,0.51,0.0593,0.0359839548,0.0,0.3946085604,,57.02,71.46,0.0,1.9456142245,False,False,
Sr35,54,sre2,Yes,4,4,6.0,0.52,0.0,0.004477946,0.0,0.4163910522,,56.28,72.48,0.0,2.0679151018,False,False,
Sr35,187,sre9,Yes,5,1,1.0,0.34,0.0,0.0,0.0,0.3207179763,AB_CLASH_REPEATED,56.76,70.4,1.6,1.4986634209,False,False,repeated
Sr35,191,sre9,Yes,6,2,0.0,0.25,0.0,0.0,0.0,0.5158566436,,58.54,72.86,0.2,1.9329058377,False,False,
Sr35,190,sre9,Yes,7,3,0.0,0.25,0.0,0.0,0.0,0.496401069,,55.68,71.12,0.0,1.9250285428,False,False,
Sr35,188,sre9,Yes,8,4,0.0,0.21,0.0,0.0,0.0,0.4498377783,,58.06,71.84,0.0,1.9596070445,False,False,
Sr35,73,sre23,Yes,9,1,0.0,0.21,0.0,0.0,0.0,0.4312326315,,72.08,75.58,0.6,1.5347502064,False,False,
Sr35,74,sre23,Yes,10,2,0.0,0.26,0.0,0.0,0.0,0.3508915116,,68.68,70.3,0.6,1.6921148633,False,False,
Sr35,189,sre9,Yes,11,5,0.0,0.14,0.0,0.0,0.0,0.3364543307,,56.52,70.56,0.2,1.9346951876,False,False,
Sr35,55,sre2,Yes,12,5,0.0,0.1,0.0,0.0,0.0,0.3158389968,AB_CLASH_REPEATED,54.48,72.4,1.0,1.4905858871,False,False,repeated
Sr35,69,sre20,Yes,13,1,0.0,0.11,0.0,0.0,0.0,0.3131078334,,35.58,74.72,0.0,2.1212030946,False,True,
Sr35,67,sre20,Yes,14,2,0.0,0.12,0.0,0.0,0.0,0.2823881844,,30.34,72.44,0.0,1.9185921023,False,True,
Sr35,WT,avrsr35,Yes,15,1,0.0,0.14,0.0,0.0,0.0,0.2736428673,,45.14,79.48,0.0,1.9176442228,True,True,
Sr35,64,sre2,Yes,16,6,0.0,0.11,0.0,0.0,0.0,0.2077000238,,53.32,68.94,0.2,1.988036724,False,False,
Sr35,66,sre20,Yes,17,3,0.0,0.1,0.0,0.0,0.0,0.2073988661,,30.5,72.58,0.0,2.1184965761,False,True,
Sr35,58,sre2,Yes,18,7,0.0,0.26,0.0,0.0,0.0,0.20643906,,54.82,70.58,0.6,1.9555784029,False,False,
Sr35,53,sre19,Yes,19,1,0.0,0.1,0.0,0.0,0.0,0.2037062239,,34.16,72.24,0.0,2.0909893856,False,True,
Sr35,62,sre2,Yes,20,8,0.0,0.2,0.0,0.0,0.0,0.1607024773,,54.9,67.32,0.2,2.1117507318,False,False,
Sr35,65,sre2,Partially,21,9,8.0,0.37,0.0,0.0,0.0,0.4563006268,,55.62,74.36,0.2,1.8242877858,False,False,
Sr35,71,sre23,Partially,22,3,0.0,0.09,0.0,0.0,0.0,0.2924700247,,71.84,71.3,0.0,1.9680689245,False,False,
Sr35,68,sre20,Partially,23,4,0.0,0.1,0.0,0.0,0.0,0.2388431096,,31.62,73.34,0.4,1.8131765338,False,True,
Sr35,72,sre23,Partially,24,4,0.0,0.07,0.0,0.0,0.0,0.2094632463,,72.32,73.94,0.2,1.9139434064,False,False,
Sr35,52,sre19,Partially,25,2,0.0,0.28,0.0,0.0,0.0,0.2014951794,,36.74,71.82,0.4,1.9491903353,False,True,
Sr35,57,sre2,No,26,10,25.0,0.68,0.0785,0.0063441311,0.012271,0.6617436987,,57.7,74.86,0.0,2.2543280637,False,False,
Sr35,56,sre2,No,27,11,19.0,0.52,0.0617,0.0167962198,0.010516,0.4844429138,,56.56,70.6,0.0,2.402260228,False,False,
Sr35,61,sre2,No,28,12,39.0,0.71,0.0247,0.0017922053,0.0,0.7396718962,,59.04,70.42,0.0,2.4839976024,False,False,
Sr35,76,sre23,No,29,5,0.0,0.13,0.0,0.0,0.0,0.1919928159,,72.6,73.0,0.0,2.3002641314,False,False,
Sr35,70,sre23,No,30,6,0.0,0.09,0.0,0.0,0.0,0.1772407246,,71.94,69.7,0.0,2.3091477576,False,False,
Sr35,75,sre23,No,31,7,0.0,0.13,0.0,0.0,0.0,0.1464143889,,72.0,70.94,0.0,2.3217031745,False,False,
