backbone,candidate_id,effector,vLRR_Interface,n_models,af3_global_iptm_mean,af3_global_ptm_mean,af3_ranking_score_mean,pairwise_iptm_nlr_effector_mean,pairwise_pae_min_nlr_to_effector_mean,pairwise_pae_min_effector_to_nlr_mean,iLIS_mean,LIS_mean,cLIS_mean,LIA_mean,cLIA_mean,iLIA_mean,iLISA_mean,afm_lis_ipSAE_crosscheck_mean,ipSAE_official_max_mean,ipSAE_official_d0dom_max_mean,ipSAE_official_d0chn_max_mean,ipSAE_official_nlr_to_effector_mean,ipSAE_official_effector_to_nlr_mean,pDockQ_official_mean,pDockQ2_official_mean,contact_prob_max_mean,contact_prob_mean_mean,n_contact_pairs_gt0.3_mean,n_contact_pairs_gt0.5_mean,vLRR_fraction_mean,vLRR_cLIR_n_in_range_mean,nlr_pLDDT_mean,effector_pLDDT_mean,LIR_nlr_mean,LIR_effector_mean,cLIR_nlr_mean,cLIR_effector_mean,LIpLDDT_nlr_mean,LIpLDDT_effector_mean,cLIpLDDT_nlr_mean,cLIpLDDT_effector_mean,nlr_intra_PAE_mean_mean,nlr_intra_PAE_median_mean,nlr_intra_PAE_p90_mean,effector_intra_PAE_mean_mean,effector_intra_PAE_median_mean,effector_intra_PAE_p90_mean,PAE_nlr_to_effector_mean_mean,PAE_nlr_to_effector_min_mean,PAE_effector_to_nlr_mean_mean,PAE_effector_to_nlr_min_mean,AB_heavy_atom_clash_pairs_lt1p5A_mean,AB_min_heavy_atom_distance_A_mean,SASA_nlr_A2_mean,SASA_effector_A2_mean,SASA_AB_A2_mean,BSA_total_A2_mean,BSA_interface_area_A2_mean,BSA_fraction_combined_mean,n_tokens_nlr_mean,n_tokens_effector_mean,n_tokens_atp_mean,iface_res_nlr_n_mean,iface_res_effector_n_mean,geometric_contact_pairs_lt4p5A_mean,AB_heavy_atom_clash_pairs_lt1p5A_max,iLIS_median,iLIS_sd,ipSAE_official_max_median,ipSAE_official_max_sd,n_contact_pairs_gt0.3_median,n_contact_pairs_gt0.3_sd,contact_prob_max_median,contact_prob_max_sd,vLRR_fraction_median,vLRR_fraction_sd,AB_heavy_atom_clash_pairs_lt1p5A_median,AB_heavy_atom_clash_pairs_lt1p5A_sd,cLIR_consistency_nlr_jaccard,cLIR_consistency_effector_jaccard,interface_consistency_mean,models_with_cLIR,interface_model_support_fraction,models_with_iLIS_gt0,af3_has_clash_n,n_models_with_clash,critical_metric_missing_n,vLRR_class_computed,vLRR_class_agreement,ranking_mode,vLRR_fallback_to_manual,annotation_warning,ipsae_header_parsed,BSA_method,suggested_rank_within_backbone,rank_within_effector,n_in_effector_group,QC_status,QC_notes
Rx,57,sre2,Yes,5,0.586,0.7239999999999999,0.65,0.604,4.192000000000001,4.67,0.23216,0.16923999999999997,0.31926,23974.2,155.0,1923.4800000000002,450.43999999999994,0.24214000000000002,0.24215400000000004,0.4889975999999999,0.7022123999999998,0.17301160000000002,0.24215400000000004,0.34484000000000004,0.01696,0.78,0.0014026677364356636,76.0,30.0,,,76.74,56.3,433.8,76.8,44.4,31.6,80.5,70.41999999999999,72.94,69.86000000000001,14.817673770997505,14.040000000000001,27.640000000000004,16.0931363175431,17.5,29.660000000000004,20.35594784876141,4.2,22.61796389529636,4.68,4.6,0.7823104246207908,,,,5860.0337635617125,2930.0168817808562,,845.0,118.0,31.0,71.8,64.4,185.6,7.0,0.2297,0.010917554671262257,0.236546,0.07328531280550012,76.0,0.0,0.78,0.0,,,5.0,2.8809720581775866,0.7268316365384873,0.7100029124653122,0.7184172745018997,5,1.0,5,0,4,0,,,manual_vLRR_class,False,,True,benchmark_ShrakeRupley_256pt_Bondi,1,1,12,CHECK,AB_CLASH_SEVERE
Rx,67,sre20,Yes,5,0.5439999999999999,0.708,0.604,0.298,10.828,13.402000000000001,0.0212,0.0225,0.025640000000000003,11.8,2.0,4.619999999999999,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.05158,0.01008,0.42000000000000004,0.0009962818996112897,4.0,0.0,,,73.32000000000001,31.04,6.2,4.6,1.6,1.6,71.58,45.64,69.325,45.474999999999994,15.50061259287283,14.479999999999999,29.1,22.03650047419049,24.28,28.340000000000003,24.88715208532853,10.8,28.979609036110645,13.4,0.2,1.6699733179405754,,,,4199.210170904727,2099.6050854523637,,873.0,122.0,31.0,52.2,41.0,102.8,1.0,0.026,0.0120476138716345,0.0,0.0,4.0,0.0,0.42,6.206335383118183e-17,,,0.0,0.44721359549995804,0.5159569659955389,0.4907825351593094,0.5033697505774242,5,1.0,4,0,1,0,,,manual_vLRR_class,False,,True,benchmark_ShrakeRupley_256pt_Bondi,2,1,4,PASS,
Rx,187,sre9,Yes,5,0.49000000000000005,0.65,0.548,0.346,14.282,12.904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06970000000000001,0.009940000000000001,0.38,0.0010264928869580033,14.0,0.0,,,70.66,57.17999999999999,0.0,0.0,0.0,0.0,,,,,17.652176288449688,17.580000000000002,29.96,14.277536103743,12.52,28.920000000000005,24.496561698422163,14.26,26.620194792287815,12.9,0.4,1.4535279266029266,,,,4571.111573478971,2285.5557867394855,,903.0,117.0,31.0,57.4,43.2,98.8,2.0,0.0,0.0,0.0,0.0,14.0,0.0,0.38,0.0,,,0.0,0.894427190999916,0.47804971989270983,0.6325127485773813,0.5552812342350455,5,1.0,0,0,1,0,,,manual_vLRR_class,False,,True,benchmark_ShrakeRupley_256pt_Bondi,3,1,5,PASS,
Rx,190,sre9,Yes,5,0.46799999999999997,0.646,0.526,0.362,12.941999999999998,12.574,0.016499999999999997,0.013600000000000001,0.02,2.4,0.8,1.3800000000000001,0.06000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.14484000000000002,0.00946,0.4699999999999999,0.0009917492180489121,14.0,0.0,,,68.88000000000001,54.779999999999994,1.0,1.8,0.8,0.8,74.30000000000001,70.9,74.80000000000001,68.6,18.44177191121097,19.259999999999998,29.96,14.615543766578247,12.580000000000002,29.139999999999997,24.989996776357632,12.940000000000001,27.035676659958007,12.56,10.4,1.016004987279687,,,,5554.084388904938,2777.042194452469,,981.0,117.0,31.0,66.8,60.2,157.0,25.0,0.0,0.02272487623728675,0.0,0.0,14.0,0.0,0.47,6.206335383118183e-17,,,5.0,11.738824472663351,0.38831602184820885,0.5165121728551811,0.452414097351695,5,1.0,2,0,4,0,,,manual_vLRR_class,False,,True,benchmark_ShrakeRupley_256pt_Bondi,4,2,5,CHECK,AB_CLASH_SEVERE
Rx,188,sre9,Yes,5,0.53,0.686,0.5860000000000001,0.244,15.66,17.324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09012,0.009600000000000001,0.38,0.00092270616243219,6.0,0.0,,,73.2,55.98,0.0,0.0,0.0,0.0,,,,,15.919813933463796,15.099999999999998,29.580000000000002,14.680978485116416,14.459999999999999,28.2,26.32717558443586,15.66,29.178093509737344,17.32,0.2,1.6669388796160085,,,,4283.688761712534,2141.844380856267,,876.0,117.0,31.0,55.6,38.2,95.6,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.38,0.0,,,0.0,0.44721359549995804,0.5257887340662453,0.5605332052361423,0.5431609696511938,5,1.0,0,0,1,0,,,manual_vLRR_class,False,,True,benchmark_ShrakeRupley_256pt_Bondi,5,3,5,PASS,
Rx,68,sre20,Yes,5,0.5820000000000001,0.73,0.6359999999999999,0.326,11.532,15.428,0.0,0.01348,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04414,0.010100000000000001,0.4600000000000001,0.0007822642754978546,6.0,0.0,,,74.9,31.96,3.2,1.6,0.0,0.0,71.36666666666667,46.36666666666667,,,14.710323219873185,13.280000000000001,28.32,20.668767104728357,22.52,26.5,22.924875857263356,11.540000000000001,29.152359445483558,15.420000000000002,0.0,2.10480682328069,,,,2843.38679431531,1421.693397157655,,894.0,122.0,31.0,37.2,30.8,66.8,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.46,6.206335383118183e-17,,,0.0,0.0,0.49414515849572743,0.3652998259394453,0.4297224922175864,5,1.0,0,0,0,0,,,manual_vLRR_class,False,,True,benchmark_ShrakeRupley_256pt_Bondi,6,2,4,PASS,
Rx,60,sre2,Yes,5,0.45199999999999996,0.646,0.526,0.29200000000000004,15.941999999999998,16.099999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2065,0.0095,0.33,0.0008164279286035699,3.0,0.0,,,71.28,54.14,0.0,0.0,0.0,0.0,,,,,17.977184679387296,18.08,30.279999999999994,16.867721280602634,19.7,30.3,26.42069877756112,15.919999999999998,28.149640580470976,16.1,11.4,0.810922086980068,,,,4384.740370996914,2192.370185498457,,904.0,118.0,31.0,48.4,53.2,141.4,26.0,0.0,0.0,0.0,0.0,3.0,0.0,0.33,0.0,,,6.0,10.13903348450926,0.48839039999692774,0.5977544122890822,0.543072406143005,5,1.0,0,0,5,0,,,manual_vLRR_class,False,,True,benchmark_ShrakeRupley_256pt_Bondi,7,2,12,CHECK,AB_CLASH_SEVERE
Rx,59,sre2,Yes,5,0.458,0.666,0.54,0.278,15.196000000000002,14.883999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18296,0.0098,0.32,0.0006665692577440093,1.0,0.0,,,72.74000000000001,55.54,0.0,0.0,0.0,0.0,,,,,16.71281875057868,16.720000000000002,29.1,16.83132695929306,20.12,30.159999999999997,26.529734073641144,15.180000000000001,28.4985489966881,14.88,9.2,0.9897760590429552,,,,3342.3651023462216,1671.1825511731108,,870.0,118.0,31.0,39.4,42.6,105.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.32,0.0,,,9.0,7.395944834840238,0.42092751335693634,0.3751993685681382,0.39806344096253726,5,1.0,0,0,4,0,,,manual_vLRR_class,False,,True,benchmark_ShrakeRupley_256pt_Bondi,8,3,12,CHECK,AB_CLASH_SEVERE
Rx,191,sre9,Yes,5,0.546,0.72,0.5999999999999999,0.298,15.148,17.406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10072,0.00974,0.14,0.0010905159097930183,0.0,0.0,,,74.16,54.39999999999999,0.0,0.0,0.0,0.0,,,,,15.36619400213921,14.319999999999999,27.78,14.852453580901857,14.069999999999999,28.459999999999997,24.12845982219476,15.16,28.863015995606354,17.4,0.2,1.7211924849141778,,,,5563.949821377517,2781.9749106887584,,996.0,117.0,31.0,68.0,48.6,119.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,,,0.0,0.447213595499958,0.4340893062971971,0.4934464539759099,0.4637678801365535,5,1.0,0,0,1,0,,,manual_vLRR_class,False,,True,benchmark_ShrakeRupley_256pt_Bondi,9,4,5,PASS,
Rx,64,sre2,Yes,5,0.48,0.636,0.544,0.19,22.074,21.348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06295999999999999,0.008679999999999998,0.09,0.0005413973905621266,0.0,0.0,,,68.1,54.05999999999999,0.0,0.0,0.0,0.0,,,,,18.483179170948954,19.12,29.939999999999998,17.085025351296537,19.61,30.359999999999996,28.705364502586793,22.1,29.903844130506734,21.36,0.6,1.6988563262109462,,,,3330.4370267827517,1665.2185133913758,,973.0,118.0,31.0,39.0,36.6,80.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,,,0.0,1.3416407864998738,0.4110882779601678,0.5053116122507904,0.45819994510547907,5,1.0,0,0,1,0,,,manual_vLRR_class,False,,True,benchmark_ShrakeRupley_256pt_Bondi,10,4,12,PASS,
