name,rank,model,chain_i,chain_j,iLIS,iLIA,iLISA,ipSAE,actifpTM,LIS,cLIS,LIA,cLIA,ipTM,pLDDT_i,pLDDT_j,pLDDT,pTM,LIR_i,LIR_j,cLIR_i,cLIR_j,LIpLDDT_i,LIpLDDT_j,LIpLDDT,cLIpLDDT_i,cLIpLDDT_j,cLIpLDDT,len_i,len_j,LIR_indices_i,LIR_indices_j,cLIR_indices_i,cLIR_indices_j,structure_file
fold_rxwt_and_pvxcp_atp,0,0,A,B,0.0000,0.0,0.0,0.0000,0.2285,0.0000,0.0000,0.0,0.0,0.2500,79.1,56.0,75.9,0.720,0,0,0,0,,,,,,,948,155,,,,,fold_rxwt_and_pvxcp_atp_model_0.cif
fold_rxwt_and_pvxcp_atp,0,0,A,C,0.4538,4093.9,1857.6,0.4987,0.9551,0.3632,0.5669,19488.0,860.0,0.9300,79.1,71.9,78.9,0.720,542,31,60,31,85.4,,,82.2,,,948,31,"[155-459,467-491,495-523,536-542,556-562,573,576-589,594-595,597-612,614-653,656,658,664-671,684-685,687-699,710-715,717-727,745-751,758,765,770-780,787-802,827,829-834,851-856,879-883]",[1-31],"[155-163,167-171,174,198-212,228-231,282-285,309-312,329,332,336,340,370-375,413,415-417,419-420,423,483]",[1-31],fold_rxwt_and_pvxcp_atp_model_0.cif
fold_rxwt_and_pvxcp_atp,0,0,B,C,0.0000,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0,0.0,0.0500,56.0,71.9,58.6,0.720,0,0,0,0,,,,,,,155,31,,,,,fold_rxwt_and_pvxcp_atp_model_0.cif
fold_rxwt_and_pvxcp_atp,1,1,A,B,0.0000,0.0,0.0,0.0000,0.2596,0.0000,0.0000,0.0,0.0,0.2700,78.8,56.1,75.6,0.720,0,0,0,0,,,,,,,948,155,,,,,fold_rxwt_and_pvxcp_atp_model_1.cif
fold_rxwt_and_pvxcp_atp,1,1,A,C,0.4470,4056.8,1813.3,0.4890,0.9533,0.3551,0.5626,19569.0,841.0,0.9300,78.8,71.6,78.6,0.720,558,31,58,31,85.1,,,81.8,,,948,31,"[78,155-459,467-491,494-523,536-542,556-562,573,576-589,594-595,597-612,614-653,656,658,664-671,684-685,687-698,710-727,745-751,757-758,761,764-765,770-780,787-803,826-835,850-858,877-884,904]",[1-31],"[156-163,167-171,174,198-212,228-231,282-285,309-312,329,332,336,340,370-375,413,415-417,419-420,483]",[1-31],fold_rxwt_and_pvxcp_atp_model_1.cif
fold_rxwt_and_pvxcp_atp,1,1,B,C,0.0000,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0,0.0,0.0600,56.1,71.6,58.7,0.720,0,0,0,0,,,,,,,155,31,,,,,fold_rxwt_and_pvxcp_atp_model_1.cif
fold_rxwt_and_pvxcp_atp,2,2,A,B,0.0000,0.0,0.0,0.0000,0.2536,0.0000,0.0000,0.0,0.0,0.2700,78.8,55.9,75.5,0.720,0,0,0,0,,,,,,,948,155,,,,,fold_rxwt_and_pvxcp_atp_model_2.cif
fold_rxwt_and_pvxcp_atp,2,2,A,C,0.4435,3905.4,1731.9,0.4781,0.9515,0.3555,0.5531,18465.0,826.0,0.9300,78.8,71.5,78.5,0.720,535,31,57,31,85.0,,,81.9,,,948,31,"[155-459,467-490,495-522,536-542,556-562,576-589,597-612,614-653,656,664-671,685,687-698,710-715,717-727,745-751,758,765,770-780,787-802,827-834,851-856,879-883]",[1-31],"[156-163,167-171,174,198-212,228,230-231,282-285,309-312,329,332,336,340,370-375,413,415-417,419-420,483]",[1-31],fold_rxwt_and_pvxcp_atp_model_2.cif
fold_rxwt_and_pvxcp_atp,2,2,B,C,0.0000,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0,0.0,0.0600,55.9,71.5,58.5,0.720,0,0,0,0,,,,,,,155,31,,,,,fold_rxwt_and_pvxcp_atp_model_2.cif
fold_rxwt_and_pvxcp_atp,3,3,A,B,0.0000,0.0,0.0,0.0000,0.2536,0.0000,0.0000,0.0,0.0,0.2600,78.7,55.5,75.4,0.720,0,0,0,0,,,,,,,948,155,,,,,fold_rxwt_and_pvxcp_atp_model_3.cif
fold_rxwt_and_pvxcp_atp,3,3,A,C,0.4395,4025.2,1769.1,0.4530,0.9515,0.3415,0.5656,19129.0,847.0,0.9300,78.7,71.4,78.5,0.720,552,31,57,31,85.0,,,82.2,,,948,31,"[155-459,467-491,494-522,536-542,556-562,576-589,594-595,597-612,614-653,656,664-671,684-685,687-699,710-727,745-751,757-758,761,764-765,770-780,787-803,826-834,850-857,877-884]",[1-31],"[156-161,163,167-171,174,198-212,228-231,282-285,309-312,329,332,336,340,370-375,413,416-417,419-420,423,483]",[1-31],fold_rxwt_and_pvxcp_atp_model_3.cif
fold_rxwt_and_pvxcp_atp,3,3,B,C,0.0000,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0,0.0,0.0600,55.5,71.4,58.2,0.720,0,0,0,0,,,,,,,155,31,,,,,fold_rxwt_and_pvxcp_atp_model_3.cif
fold_rxwt_and_pvxcp_atp,4,4,A,B,0.0000,0.0,0.0,0.0000,0.2293,0.0000,0.0000,0.0,0.0,0.2500,78.5,56.4,75.4,0.710,0,0,0,0,,,,,,,948,155,,,,,fold_rxwt_and_pvxcp_atp_model_4.cif
fold_rxwt_and_pvxcp_atp,4,4,A,C,0.4421,4040.8,1786.4,0.4721,0.9515,0.3486,0.5607,18964.0,861.0,0.9300,78.5,71.4,78.3,0.710,543,31,60,31,84.9,,,81.2,,,948,31,"[155-459,467-490,495-522,536-542,556-562,576-589,594-595,597-612,614-652,664-671,684-685,687-699,710-715,717-727,745-751,758,765,770-780,787-803,826-834,850-857,877-883]",[1-31],"[155-163,167-171,174,198-212,228-231,282-285,309-312,329,332,336,340,370-375,413,415-417,419-420,423,483]",[1-31],fold_rxwt_and_pvxcp_atp_model_4.cif
fold_rxwt_and_pvxcp_atp,4,4,B,C,0.0000,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0,0.0,0.0500,56.4,71.4,58.9,0.710,0,0,0,0,,,,,,,155,31,,,,,fold_rxwt_and_pvxcp_atp_model_4.cif
