backbone,candidate_id,effector,vLRR_Interface_manual,vLRR_class_computed,vLRR_fraction_median,vLRR_class_agreement,n_models_found,n_models_expected,QC_status,QC_notes,nlr_pLDDT_mean,effector_pLDDT_mean,nlr_intra_PAE_mean,effector_intra_PAE_mean,af3_has_clash_n,AB_heavy_atom_clash_pairs_mean,AB_heavy_atom_clash_pairs_median,AB_heavy_atom_clash_pairs_worst_model,n_models_with_clash,AB_min_heavy_atom_distance_mean_A,models_with_cLIR,interface_model_support_fraction,interface_consistency_mean,iLIS_median,iLIS_sd,contact_prob_max_median,n_contact_pairs_gt0.3_median,ipSAE_official_max_median,n_tokens_nlr_mean,n_tokens_effector_mean,n_tokens_atp_mean,BSA_method
Rx,57,sre2,Yes,,,,5,5,CHECK,AB_CLASH_SEVERE,76.74,56.3,14.817673770997505,16.0931363175431,0,4.6,5.0,7.0,4,0.7823104246207908,5,1.0,0.7184172745018997,0.2297,0.010917554671262257,0.78,76.0,0.236546,845.0,118.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Rx,67,sre20,Yes,,,,5,5,PASS,,73.32000000000001,31.04,15.50061259287283,22.03650047419049,0,0.2,0.0,1.0,1,1.6699733179405754,5,1.0,0.5033697505774242,0.026,0.0120476138716345,0.42,4.0,0.0,873.0,122.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Rx,187,sre9,Yes,,,,5,5,PASS,,70.66,57.17999999999999,17.652176288449688,14.277536103743,0,0.4,0.0,2.0,1,1.4535279266029266,5,1.0,0.5552812342350455,0.0,0.0,0.38,14.0,0.0,903.0,117.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Rx,190,sre9,Yes,,,,5,5,CHECK,AB_CLASH_SEVERE,68.88000000000001,54.779999999999994,18.44177191121097,14.615543766578247,0,10.4,5.0,25.0,4,1.016004987279687,5,1.0,0.452414097351695,0.0,0.02272487623728675,0.47,14.0,0.0,981.0,117.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Rx,188,sre9,Yes,,,,5,5,PASS,,73.2,55.98,15.919813933463796,14.680978485116416,0,0.2,0.0,1.0,1,1.6669388796160085,5,1.0,0.5431609696511938,0.0,0.0,0.38,6.0,0.0,876.0,117.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Rx,68,sre20,Yes,,,,5,5,PASS,,74.9,31.96,14.710323219873185,20.668767104728357,0,0.0,0.0,0.0,0,2.10480682328069,5,1.0,0.4297224922175864,0.0,0.0,0.46,6.0,0.0,894.0,122.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Rx,60,sre2,Yes,,,,5,5,CHECK,AB_CLASH_SEVERE,71.28,54.14,17.977184679387296,16.867721280602634,0,11.4,6.0,26.0,5,0.810922086980068,5,1.0,0.543072406143005,0.0,0.0,0.33,3.0,0.0,904.0,118.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Rx,59,sre2,Yes,,,,5,5,CHECK,AB_CLASH_SEVERE,72.74000000000001,55.54,16.71281875057868,16.83132695929306,0,9.2,9.0,17.0,4,0.9897760590429552,5,1.0,0.39806344096253726,0.0,0.0,0.32,1.0,0.0,870.0,118.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Rx,191,sre9,Yes,,,,5,5,PASS,,74.16,54.39999999999999,15.36619400213921,14.852453580901857,0,0.2,0.0,1.0,1,1.7211924849141778,5,1.0,0.4637678801365535,0.0,0.0,0.14,0.0,0.0,996.0,117.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Rx,64,sre2,Yes,,,,5,5,PASS,,68.1,54.05999999999999,18.483179170948954,17.085025351296537,0,0.6,0.0,3.0,1,1.6988563262109462,5,1.0,0.45819994510547907,0.0,0.0,0.09,0.0,0.0,973.0,118.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Rx,53,sre19,Yes,,,,5,5,PASS,,72.96,32.88,15.566951793968745,17.631321732691596,0,0.0,0.0,0.0,0,2.057554932423864,5,1.0,0.40577276152558805,0.0,0.0,0.12,0.0,0.0,826.0,74.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Rx,WT,pvxcp,Yes,,,,5,5,PASS,,78.78,55.98,14.355050392311494,17.402724759111855,0,0.6,0.0,2.0,2,1.4091742095898705,5,1.0,0.39484589378800794,0.0,0.0,0.11,0.0,0.0,948.0,155.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Rx,52,sre19,Yes,,,,5,5,PASS,,70.78,32.84,17.349468275792663,18.14705664568678,0,0.0,0.0,0.0,0,1.9575785851842924,5,1.0,0.3925197694614829,0.0,0.0,0.2,0.0,0.0,858.0,74.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Rx,55,sre2,Yes,,,,5,5,PASS,,74.76,56.04,15.349339157386925,16.759080110097063,0,0.4,0.0,2.0,1,1.8908954905747155,5,1.0,0.3840208839703424,0.0,0.0,0.16,0.0,0.0,895.0,118.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Rx,62,sre2,Yes,,,,5,5,PASS,,67.67999999999999,52.21999999999999,18.192845928413846,17.50924670433145,0,1.0,0.0,4.0,2,1.6310613561586575,5,1.0,0.3353689952687319,0.0,0.0,0.14,0.0,0.0,955.0,118.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Rx,66,sre20,Yes,,,,5,5,PASS,,70.66,30.9,17.685282249326853,20.94734995258095,0,0.0,0.0,0.0,0,2.04879717047011,5,1.0,0.3118699437553222,0.0,0.0,0.1,0.0,0.0,966.0,122.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Rx,189,sre9,Yes,,,,5,5,PASS,,71.0,56.5,16.38066907910797,15.089689065723547,0,0.0,0.0,0.0,0,2.192609228525031,5,1.0,0.07176979691439513,0.0,0.0,0.04,0.0,0.0,835.0,117.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Rx,54,sre2,Partially,,,,5,5,PASS,,74.28,55.720000000000006,16.038818702254606,16.503005939446616,0,0.2,0.0,1.0,1,1.5864469147081635,5,1.0,0.3534090593874911,0.0,0.0,0.44,15.0,0.0,804.0,118.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Rx,63,sre2,Partially,,,,5,5,CHECK,AB_CLASH_REPEATED,71.54,54.260000000000005,17.58831520558939,16.563540489642186,0,1.4,1.0,4.0,4,1.3702933837991145,5,1.0,0.4468501773175012,0.0,0.0,0.15,0.0,0.0,921.0,118.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Rx,73,sre23,Partially,,,,5,5,PASS,,75.78,71.67999999999999,14.366594057288768,8.799494374020796,0,0.2,0.0,1.0,1,1.8165163249980434,5,1.0,0.34387347325232426,0.0,0.0,0.27,0.0,0.0,798.0,119.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Rx,56,sre2,Partially,,,,5,5,PASS,,72.17999999999999,56.160000000000004,15.772310713513178,17.13014921048819,0,0.0,0.0,0.0,0,2.076647771663139,5,1.0,0.3412022520605369,0.0,0.0,0.19,0.0,0.0,805.0,118.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Rx,61,sre2,Partially,,,,5,5,PASS,,70.85999999999999,52.96,18.200828959190428,17.136113284079386,0,0.2,0.0,1.0,1,1.839113804832499,5,1.0,0.3102154008371345,0.0,0.0,0.19,0.0,0.0,1008.0,118.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Rx,58,sre2,Partially,,,,5,5,PASS,,71.78,56.339999999999996,16.596502698382043,17.099892800231782,0,0.0,0.0,0.0,0,1.9428032606750798,5,1.0,0.282272333316115,0.0,0.0,0.16,0.0,0.0,864.0,118.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Rx,69,sre20,Partially,,,,5,5,PASS,,73.42,34.720000000000006,15.002443715715476,20.25037257824143,0,0.0,0.0,0.0,0,2.0439340602347214,5,1.0,0.2778821418395905,0.0,0.0,0.08,0.0,0.0,774.0,122.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Rx,65,sre2,Partially,,,,5,5,PASS,,73.85999999999999,57.90000000000001,15.202122807545354,16.89803708532522,0,0.2,0.0,1.0,1,2.173998233662646,5,1.0,0.2140359950197322,0.0,0.0,0.18,0.0,0.0,774.0,118.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Rx,75,sre23,No,,,,5,5,PASS,,72.38,72.38,15.673458636328093,9.136222760290558,0,0.0,0.0,0.0,0,1.9995228522005406,5,1.0,0.49396425626279905,0.0,0.0,0.31,1.0,0.0,784.0,119.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Rx,72,sre23,No,,,,5,5,PASS,,72.36000000000001,70.61999999999999,15.551224924182673,9.738693918245264,0,0.2,0.0,1.0,1,1.809707151438061,5,1.0,0.4316458673880809,0.0,0.0,0.24,0.0,0.0,779.0,119.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Rx,70,sre23,No,,,,5,5,CHECK,AB_CLASH_REPEATED,70.3,72.22,16.920558180923628,8.938325024925225,0,1.8,1.0,7.0,3,1.526929420935581,5,1.0,0.4246670301740557,0.0,0.0,0.15,0.0,0.0,812.0,119.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Rx,74,sre23,No,,,,5,5,PASS,,70.36,69.44,17.081844388626273,9.129202392821536,0,0.0,0.0,0.0,0,1.9165533771335426,5,1.0,0.2922611517416875,0.0,0.0,0.14,0.0,0.0,944.0,119.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Rx,76,sre23,No,,,,5,5,PASS,,72.2,71.9,15.92862511849222,9.033817120068367,0,0.0,0.0,0.0,0,2.09922329839181,5,1.0,0.28952332375638,0.0,0.0,0.19,0.0,0.0,804.0,119.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Rx,71,sre23,No,,,,5,5,PASS,,72.38,71.3,16.021906197243982,9.095291269049993,0,0.0,0.0,0.0,0,2.1818242859659867,5,1.0,0.2522947888469667,0.0,0.0,0.16,0.0,0.0,828.0,119.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Sr35,59,sre2,Yes,,,,5,5,PASS,,75.32000000000001,61.74000000000001,15.614246622888356,17.37170215848182,0,0.0,0.0,0.0,0,2.068798189497356,5,1.0,0.6649330612146827,0.1383,0.012226528534297868,0.8,46.0,0.093029,889.0,118.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Sr35,63,sre2,Yes,,,,5,5,PASS,,71.98,56.660000000000004,18.173997144993542,16.865246994060552,0,0.2,0.0,1.0,1,1.8774847799450165,5,1.0,0.6139246746754228,0.0638,0.008979253866552607,0.6,12.0,0.0,940.0,118.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Sr35,60,sre2,Yes,,,,5,5,PASS,,71.46000000000001,57.019999999999996,18.119859225434368,16.51017963204404,0,0.0,0.0,0.0,0,1.9456142244997696,5,1.0,0.39460856040705744,0.0593,0.035983954757641635,0.51,12.0,0.0,923.0,118.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Sr35,54,sre2,Yes,,,,5,5,PASS,,72.47999999999999,56.279999999999994,16.467053980304687,16.95547877734318,0,0.0,0.0,0.0,0,2.067915101808992,5,1.0,0.4163910522320886,0.0,0.00447794595769087,0.52,6.0,0.0,823.0,118.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Sr35,187,sre9,Yes,,,,5,5,CHECK,AB_CLASH_REPEATED,70.4,56.760000000000005,18.354830032431973,14.419706749189507,0,1.6,1.0,6.0,3,1.4986634208791867,5,1.0,0.32071797632474264,0.0,0.0,0.34,1.0,0.0,922.0,117.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Sr35,191,sre9,Yes,,,,5,5,PASS,,72.86,58.54,18.178081499402452,14.26434423813734,0,0.2,0.0,1.0,1,1.9329058376960753,5,1.0,0.5158566435981493,0.0,0.0,0.25,0.0,0.0,1015.0,117.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
Sr35,190,sre9,Yes,,,,5,5,PASS,,71.12,55.67999999999999,17.040626146146145,14.64633068081344,0,0.0,0.0,0.0,0,1.925028542844893,5,1.0,0.4964010690223153,0.0,0.0,0.25,0.0,0.0,1000.0,117.0,31.0,benchmark_ShrakeRupley_256pt_Bondi
